LakeName,Year,Month ,ChlA
Lake Taupo,2012,11,0.455
Lake Taupo,2012,12,0.6
Lake Taupo,2013,1,0.6
Lake Taupo,2013,2,0.525
Lake Taupo,2013,3,0.65
Lake Taupo,2013,4,1.2
Lake Taupo,2013,5,1.445
Lake Taupo,2013,6,1.45
Lake Taupo,2013,7,1.6
Lake Taupo,2013,8,1.9
Lake Taupo,2013,9,2.05
Lake Taupo,2013,10,1.4
Lake Taupo,2013,11,1.1
Lake Taupo,2013,12,1.17
Lake Rotorua,2003,1,33.4
Lake Rotorua,2003,2,43.4
Lake Rotorua,2003,3,23.3
Lake Rotorua,2003,4,44.4
Lake Rotorua,2003,5,33
Lake Rotorua,2003,6,29
Lake Rotorua,2003,7,25.7
Lake Rotorua,2003,8,12
Lake Rotorua,2003,9,17.1
Lake Rotorua,2003,10,11
Lake Rotorua,2003,11,20.3
Lake Rotorua,2003,12,28.8
Lake Rotorua,2004,1,37.1
Lake Rotorua,2004,2,47.4
Lake Rotorua,2004,3,61.3
Lake Rotorua,2004,4,32.6
Lake Rotorua,2004,5,21.6
Lake Rotorua,2004,6,13.8
Lake Rotorua,2004,7,35
Lake Rotorua,2004,8,18.7
Lake Rotorua,2004,9,14.8
Lake Rotorua,2004,10,10.9
Lake Rotorua,2004,11,16.5
Lake Rotorua,2004,12,15.4
Lake Rotorua,2005,1,15
Lake Rotorua,2005,2,12.8
Lake Rotorua,2005,3,21.8
Lake Rotorua,2005,4,30.7
Lake Rotorua,2005,5,25
Lake Rotorua,2005,6,15
Lake Rotorua,2005,7,11.4
Lake Rotorua,2005,8,6.6
Lake Rotorua,2005,9,11.8
Lake Rotorua,2005,10,2.8
Lake Rotorua,2005,11,12.2
Lake Rotorua,2005,12,12
Lake Rotorua,2006,1,24.4
Lake Rotorua,2006,2,28.6
Lake Rotorua,2006,3,77.1
Lake Rotorua,2006,4,27.2
Lake Rotorua,2006,5,26.15
Lake Rotorua,2006,6,25.1
Lake Rotorua,2006,7,19.6
Lake Rotorua,2006,8,41.7
Lake Rotorua,2006,9,12.6
Lake Rotorua,2006,10,14.2
Lake Rotorua,2006,11,13.5
Lake Rotorua,2006,12,16.2
Lake Rotorua,2007,1,12.9
Lake Rotorua,2007,2,18
Lake Rotorua,2007,3,38
Lake Rotorua,2007,4,42.9
Lake Rotorua,2007,5,30
Lake Rotorua,2007,6,17.1
Lake Rotorua,2007,7,25.8
Lake Rotorua,2007,8,16.9
Lake Rotorua,2007,9,2.8
Lake Rotorua,2007,10,26.6
Lake Rotorua,2007,11,12.8
Lake Rotorua,2007,12,17.8
Lake Rotorua,2008,1,17.2
Lake Rotorua,2008,2,23.7
Lake Rotorua,2008,3,17.1
Lake Rotorua,2008,4,29.8
Lake Rotorua,2008,5,21.2
Lake Rotorua,2008,6,17.9
Lake Rotorua,2008,7,30.8
Lake Rotorua,2008,8,17.1
Lake Rotorua,2008,9,10.6
Lake Rotorua,2008,10,10.9
Lake Rotorua,2008,11,13.1
Lake Rotorua,2008,12,17.5
Lake Rotorua,2009,1,13.5
Lake Rotorua,2009,2,15.9
Lake Rotorua,2009,3,35.8
Lake Rotorua,2009,4,28.8
Lake Rotorua,2009,5,21.9
Lake Rotorua,2009,6,17.7
Lake Rotorua,2009,7,14.2
Lake Rotorua,2009,8,22.3
Lake Rotorua,2009,9,9.1
Lake Rotorua,2009,10,5.6
Lake Rotorua,2009,11,9.1
Lake Rotorua,2009,12,5.9
Lake Rotorua,2010,1,10.9
Lake Rotorua,2010,2,16.3
Lake Rotorua,2010,3,20.5
Lake Rotorua,2010,4,22.6
Lake Rotorua,2010,5,15.4
Lake Rotorua,2010,6,23.6
Lake Rotorua,2010,7,13
Lake Rotorua,2010,8,19.1
Lake Rotorua,2010,9,9.3
Lake Rotorua,2010,10,11.3
Lake Rotorua,2010,11,8.2
Lake Rotorua,2010,12,16
Lake Rotorua,2011,1,19.6
Lake Rotorua,2011,2,8.7
Lake Rotorua,2011,3,13
Lake Rotorua,2011,4,8.8
Lake Rotorua,2011,5,30.8
Lake Rotorua,2011,6,22.6
Lake Rotorua,2011,7,9.4
Lake Rotorua,2011,8,6
Lake Rotorua,2011,9,21.8
Lake Rotorua,2011,10,16.4
Lake Rotorua,2011,11,9.8
Lake Rotorua,2011,12,13.3
Lake Rotorua,2012,1,10
Lake Rotorua,2012,2,5.1
Lake Rotorua,2012,3,8.2
Lake Rotorua,2012,4,4.5
Lake Rotorua,2012,5,5.8
Lake Rotorua,2012,6,6.1
Lake Rotorua,2012,7,4.6
Lake Rotorua,2012,8,8.7
Lake Rotorua,2012,9,12.2
Lake Rotorua,2012,10,2.5
Lake Rotorua,2012,11,5.32
Lake Rotorua,2012,12,5.74
Lake Rotorua,2013,1,9.8
Lake Rotorua,2013,2,5.1
Lake Rotorua,2013,3,14.8
Lake Rotorua,2013,4,9.6
Lake Rotorua,2013,5,31
Lake Rotorua,2013,6,16.6
Lake Rotorua,2013,7,15.7
Lake Rotorua,2013,8,10
Lake Rotorua,2013,9,10
Lake Rotorua,2013,10,11.2
Lake Rotorua,2013,11,7.3
Lake Rotorua,2013,12,6.8
